phrase,highlight
turn on the Indie Rock playlist,Indie Rock
let me put on All Out 80s,All Out 80s
get the Midnight playlist going,Midnight
I feel like listening to Chill Hits,Chill Hits
can you start Pop Punk,Pop Punk
can you put on Focus Flow,Focus Flow
go ahead and play Viva Latino,Viva Latino
can you start playing Film Scores,Film Scores
shuffle my Death Metal playlist,Death Metal
I'm in the mood for Heartbreak Hotel tonight,Heartbreak Hotel
get the Good Morning playlist playing,Good Morning
let me hear Love Songs,Love Songs
Baby Music is what I need,Baby Music
hey put on Reggae Classics,Reggae Classics
All Out 90s would hit the spot,All Out 90s
could you put on Friday Feeling for me,Friday Feeling
shuffle the Rainy Day playlist,Rainy Day
play Bluegrass for me,Bluegrass
could you play Stars,Stars
queue up the Cooking Music playlist,Cooking Music
play some RapCaviar,RapCaviar
throw on Mood Booster,Mood Booster
can you turn on New Music Friday,New Music Friday
can you put on Summer Pop,Summer Pop
go ahead and play Christmas Classics,Christmas Classics
Hot Country would hit the spot,Hot Country
could you turn on Romance,Romance
start playing the Yoga playlist,Yoga
I need the Classical Focus playlist,Classical Focus
I want to listen to the Soul Classics playlist,Soul Classics
go ahead and start Driving,Driving
Chill Hits is what I want,Chill Hits
can you turn on Date Night,Date Night
I need some Latin Pop,Latin Pop
I need some Pre-Party,Pre-Party
I'd love to hear Driving,Driving
start playing the Good Vibes playlist,Good Vibes
let's listen to Coding Mode,Coding Mode
I wanna hear Lo-fi Hip Hop,Lo-fi Hip Hop
Lofi Beats is what I want,Lofi Beats
get Chilled Out Rap going,Chilled Out Rap
play Blues Classics,Blues Classics
could you start playing Power Ballads please,Power Ballads
I need some Throwback Thursday,Throwback Thursday
hey can you put on Road Trip,Road Trip
turn on Techno Bunker,Techno Bunker
hey put on Lo-Fi Cafe,Lo-Fi Cafe
I need the Summer Pop playlist,Summer Pop
Today's Top Hits would be great,Today's Top Hits
switch the playlist to Dinner Jazz,Dinner Jazz
I'd love to listen to Soft Rock,Soft Rock
play Anger Management for me,Anger Management
queue up Disney Hits for me,Disney Hits
can you put on Driving,Driving
can you start Rise and Shine,Rise and Shine
let's put on Folk Essentials,Folk Essentials
I need some Lo-Fi Cafe,Lo-Fi Cafe
can you start Soft Rock,Soft Rock
play Gaming Music,Gaming Music
Kids Bop fits the mood,Kids Bop
start playing Life Sucks,Life Sucks
queue up the Office Vibes playlist,Office Vibes
go ahead and put on Songs to Sing in the Car,Songs to Sing in the Car
let me listen to Meditation,Meditation
get the Christmas Classics playlist going,Christmas Classics
I need the Yacht Rock playlist,Yacht Rock
Baby Music sounds good,Baby Music
I'm in the mood to listen to Lo-Fi Cafe,Lo-Fi Cafe
could you play Motown Classics,Motown Classics
can you turn on Reggae Classics,Reggae Classics
I'd love to listen to Rock Classics,Rock Classics
Cry Baby is what I want,Cry Baby
play Sad Hours,Sad Hours
I'd like to listen to Salsa,Salsa
I want Indie Rock on,Indie Rock
I'd love to hear Summer Hits,Summer Hits
I'd like to listen to the Study Break playlist,Study Break
I'm in the mood to listen to Dinner Party,Dinner Party
I'd love to hear Baby Music,Baby Music
I need some Baby Music,Baby Music
get the Indie Pop playlist playing,Indie Pop
play some Spa,Spa
I'd love to hear Date Night,Date Night
let me hear Pregame,Pregame
I'd like to listen to Instrumental Hits,Instrumental Hits
could you put on Wedding Songs for me,Wedding Songs
I'm in the mood for Classic Rock,Classic Rock
shuffle After Hours,After Hours
queue up the Heartbreak Hotel playlist,Heartbreak Hotel
can you play Rock Classics,Rock Classics
Sunday Morning is what I want,Sunday Morning
White Noise now,White Noise
let me hear Cleaning Playlist,Cleaning Playlist
queue the Cry Baby playlist for me,Cry Baby
hey throw on Hip-Hop Controller,Hip-Hop Controller
Lullabies would be perfect,Lullabies
I want to listen to the Power Hour playlist,Power Hour
I really want to listen to Indie Hits,Indie Hits
Acoustic Morning would hit the spot,Acoustic Morning
I'm in the mood to listen to Focus Flow,Focus Flow
Emo Forever is what I want,Emo Forever
I'd like to hear Weekend,Weekend
can you turn on Pre-Party,Pre-Party
get the Teen Party playlist going,Teen Party
I really want to listen to Hard Rock,Hard Rock
I want to hear Acoustic Morning,Acoustic Morning
After Hours please,After Hours
I wanna put on EDM Hits,EDM Hits
shuffle Death Metal for me,Death Metal
I'd like to hear Confidence Boost,Confidence Boost
Cozy now,Cozy
can you put on Chill Vibes please,Chill Vibes
I'd like to hear RapCaviar,RapCaviar
go ahead and play All Out 90s,All Out 90s
can you play Spa,Spa
Life Sucks now,Life Sucks
let's listen to Girls Night,Girls Night
After Hours would be perfect,After Hours
I'm in the mood to listen to Heartbreak Hotel,Heartbreak Hotel
throw Summer Party on,Summer Party
play the Good Morning playlist,Good Morning
let me listen to Peaceful Piano,Peaceful Piano
I really want to listen to Instrumental Hits,Instrumental Hits
throw on Metal Essentials,Metal Essentials
Date Night is what I want,Date Night
hey put on Dance Rising,Dance Rising
give me Chill Hits,Chill Hits
go ahead and start Productivity,Productivity
I'm in the mood for Classical Focus,Classical Focus
shuffle Good Morning,Good Morning
could you put on Winter Warmth for me,Winter Warmth
throw on Yoga,Yoga
I feel like hearing Workout,Workout
Meditation would hit the spot,Meditation
hey start Pre-Party,Pre-Party
find College Party and put it on,College Party
I need the Cleaning Playlist playlist,Cleaning Playlist
let me listen to Party Anthems,Party Anthems
put on Hot Country,Hot Country
start the Cleaning Playlist playlist,Cleaning Playlist
go ahead and play Baking Songs,Baking Songs
queue up Acoustic Morning for me,Acoustic Morning
let me hear Summer Hits,Summer Hits
put on Summer Pop,Summer Pop
I feel like hearing Empowerment,Empowerment
I'd like to listen to Workout,Workout
let me put on Party Anthems,Party Anthems
let's put on Running,Running
go ahead and play Beast Mode,Beast Mode
let's play Blues Classics,Blues Classics
switch to Good Morning,Good Morning
let's play Chilled Out Rap,Chilled Out Rap
Beast Mode is the vibe,Beast Mode
shuffle Rise and Shine for me,Rise and Shine
put on Kids Bop right now,Kids Bop
Karaoke Night is what I want,Karaoke Night
I need some All Out 2010s,All Out 2010s
let's play Rise and Shine,Rise and Shine
put on Dinner Party,Dinner Party
play the Road Trip playlist,Road Trip
can you put on Happy Hits please,Happy Hits
start playing Brain Food,Brain Food
Sad Hours fits the mood,Sad Hours
can you put on Hype please,Hype
let me hear EDM Hits,EDM Hits
shuffle Country Gold,Country Gold
get the Afternoon Drive playlist playing,Afternoon Drive
put on Feel Good Friday,Feel Good Friday
give me some Late Night Vibes,Late Night Vibes
could you start playing Pop Punk please,Pop Punk
let's put on Rock Classics,Rock Classics
can you start playing Baby Music,Baby Music
could you play Meditation,Meditation
All Out 80s sounds good,All Out 80s
I want Night Owl on,Night Owl
Techno Bunker is what I want,Techno Bunker
I'd like to hear Peaceful Piano,Peaceful Piano
I need some Soft Pop Hits,Soft Pop Hits
hey put on All Out 2000s,All Out 2000s
Gaming Music is what I need,Gaming Music
I'd love to hear Party Anthems,Party Anthems
Rainy Day please,Rainy Day
Soul Classics would hit the spot,Soul Classics
can you play Cleaning Playlist,Cleaning Playlist
I feel like hearing Today's Top Hits,Today's Top Hits
hey start Gym Anthems,Gym Anthems
can you play the Road Trip playlist,Road Trip
I wanna hear Dinner with Friends,Dinner with Friends
I'd love to listen to Focus Flow,Focus Flow
shuffle the Summer Party playlist,Summer Party
Summer Party is what I need,Summer Party
get the Wedding Songs playlist going,Wedding Songs
can you start playing After Party,After Party
throw Pop Rising on,Pop Rising
start Pregame for me,Pregame
start Salsa for me,Salsa
start the mint playlist,mint
put on Today's Top Hits,Today's Top Hits
find the Unplugged playlist and play it,Unplugged
get Blues Classics going,Blues Classics
switch the playlist to Afrobeats,Afrobeats
can you put on Tropical House please,Tropical House
shuffle my All Out 80s playlist,All Out 80s
EDM Hits would be perfect,EDM Hits
I wanna put on Film Scores,Film Scores
get College Party going,College Party
I want Productivity on,Productivity
go ahead and put on Coffee Table Jazz,Coffee Table Jazz
get the Nature Sounds playlist going,Nature Sounds
put on Jazz Vibes right now,Jazz Vibes
play Punk Classics,Punk Classics
start the Yoga playlist,Yoga
let me hear Work From Home,Work From Home
get the Empowerment playlist going,Empowerment
change to Sad Hours,Sad Hours
hey throw on Reggae Classics,Reggae Classics
I'd like to listen to the Chill Vibes playlist,Chill Vibes
I'd love to hear Baking Songs,Baking Songs
let me hear Afters,Afters
queue up the Salsa playlist,Salsa
I feel like hearing Dinner with Friends,Dinner with Friends
start playing Happy Hits,Happy Hits
I'm in the mood for Afrobeats tonight,Afrobeats
queue the Reggae Classics playlist for me,Reggae Classics
can you play the Dinner Jazz playlist,Dinner Jazz
Reggaeton sounds good,Reggaeton
can you play the Focus Flow playlist,Focus Flow
play All Out 90s,All Out 90s
put on the Girls Night playlist,Girls Night
can you play the Classical Focus playlist,Classical Focus
shuffle my Daily Mix 1 playlist,Daily Mix 1
I need the Punk Classics playlist,Punk Classics
queue the Work From Home playlist for me,Work From Home
start the Late Night Vibes playlist,Late Night Vibes
start Death Metal,Death Metal
I wanna hear Karaoke Night,Karaoke Night
hey can you play Indie Rock,Indie Rock
queue up Pop Punk for me,Pop Punk
I'm in the mood to listen to Acoustic Morning,Acoustic Morning
hey throw on Road Trip,Road Trip
get the Dinner with Friends playlist playing,Dinner with Friends
go ahead and start Study Break,Study Break
let me put on Bedroom Pop,Bedroom Pop
put on After Party please,After Party
mint sounds good,mint
start the Alternative R&B playlist,Alternative R&B
put on Morning Coffee please,Morning Coffee
put on Party Mix,Party Mix
could you put on Summer Pop for me,Summer Pop
put on Afternoon Drive right now,Afternoon Drive
I'd like to listen to the Motown Classics playlist,Motown Classics
start playing EDM Hits,EDM Hits
go ahead and start All Out 2010s,All Out 2010s
put on the Good Vibes playlist,Good Vibes
hey can you put on Reggaeton,Reggaeton
shuffle Night Owl,Night Owl
hey can you put on Dinner Jazz,Dinner Jazz
let's play Teen Party,Teen Party
I want to listen to Weekend,Weekend
go ahead and play Folk Essentials,Folk Essentials
play Summer Party for me,Summer Party
can you put on Deep Focus,Deep Focus
let me listen to Sleep,Sleep
get Love Songs going,Love Songs
turn on the Chilled Out Rap playlist,Chilled Out Rap
I wanna listen to Workout,Workout
change the playlist to mint,mint
I'd like to listen to the Throwback Thursday playlist,Throwback Thursday
could you play Hard Rock,Hard Rock
I feel like listening to Indie Hits,Indie Hits
Pre-Party is the vibe,Pre-Party
Stars sounds good,Stars
queue up the Sunday Morning playlist,Sunday Morning
