phrase,pname
Booting up buildbox for some work,buildbox
Editing videos using illustrator,illustrator
Editing videos using netscape,netscape
Compiling code via ansys,ansys
Designing assets in venngage,venngage
Modeling objects with waterfox,waterfox
Exploring features of proteus,proteus
Visualizing data in vscode,vscode
Modeling objects with canva,canva
Using biteable to complete the project,biteable
Starting logisim for the assignment,logisim
Starting processing for the assignment,processing
Animating characters using clipstudio,clipstudio
Running rhino to test the code,rhino
Debugging in balsamiq environment,balsamiq
Developing games in maxthon,maxthon
Browsing the web with notion,notion
Simulating circuits in construct,construct
Working on designs in quartus,quartus
Booting up whimsical for some work,whimsical
Streaming music through gliffy,gliffy
Sketching ideas in vivado,vivado
Compiling code via docker,docker
Browsing the web with affinity,affinity
Compiling code via falkon,falkon
Firing up bluej to begin,bluej
Launching audacity for today's tasks,audacity
Simulating circuits in marvel,marvel
Opening piktochart to get started,piktochart
Writing scripts inside ansible,ansible
Writing scripts inside rpgmaker,rpgmaker
Launching solidworks for today's tasks,solidworks
Collaborating via avant,avant
Launching vlc for today's tasks,vlc
Debugging in gameguru environment,gameguru
Sketching ideas in tyranobuilder,tyranobuilder
Editing files with androidstudio,androidstudio
Designing assets in lumberyard,lumberyard
Modeling objects with powtoon,powtoon
Streaming music through paintnet,paintnet
Prototyping UI in logic,logic
Writing scripts inside blend4web,blend4web
Browsing the web with geany,geany
Designing assets in openscad,openscad
Editing videos using camstudio,camstudio
Streaming music through drawio,drawio
Streaming music through toonly,toonly
Opening obs to get started,obs
Exploring features of cinelerra,cinelerra
Debugging in basilisk environment,basilisk
Firing up intellij to begin,intellij
Debugging in zbrush environment,zbrush
Editing videos using midori,midori
Exploring features of ucbrowser,ucbrowser
Browsing the web with krita,krita
Firing up webstorm to begin,webstorm
Using stencyl to complete the project,stencyl
Designing assets in visme,visme
Animating characters using shotcut,shotcut
Simulating circuits in autocad,autocad
Editing videos using flstudio,flstudio
Visualizing data in blender,blender
Sketching ideas in zeplin,zeplin
Recording audio in davinci,davinci
Creating visuals in renpy,renpy
Recording audio in renderforest,renderforest
Prototyping UI in comsol,comsol
Modeling objects with icecat,icecat
Debugging in doodly environment,doodly
Using sketch to complete the project,sketch
Opening foobar to get started,foobar
Managing data using netbeans,netbeans
Using kubernetes to complete the project,kubernetes
Creating visuals in raylib,raylib
Editing videos using unreal,unreal
Compiling code via scratch,scratch
Developing games in greenfoot,greenfoot
Rendering scenes with iar,iar
Modeling objects with love2d,love2d
Firing up pycharm to begin,pycharm
Simulating circuits in foobar2000,foobar2000
Organizing notes in gravit,gravit
Modeling objects with freecad,freecad
Writing scripts inside mosaic,mosaic
Managing data using kicad,kicad
Recording audio in epiphany,epiphany
Rendering scenes with codeblocks,codeblocks
Prototyping UI in ltspice,ltspice
Designing assets in openshot,openshot
Prototyping UI in terraform,terraform
Collaborating via tvpaint,tvpaint
Booting up babylonjs for some work,babylonjs
Recording audio in xcode,xcode
Sketching ideas in cubase,cubase
Browsing the web with beaker,beaker
Visualizing data in tahoma,tahoma
Creating visuals in playcanvas,playcanvas
Streaming music through sas,sas
Debugging in altium environment,altium
Creating visuals in aftereffects,aftereffects
Prototyping UI in fusion360,fusion360
Animating characters using pencil2d,pencil2d
Writing scripts inside lightroom,lightroom
Developing games in brackets,brackets
Managing data using monogame,monogame
Browsing the web with simulink,simulink
Starting threejs for the assignment,threejs
Writing scripts inside colibri,colibri
Editing videos using qute,qute
Opening dooble to get started,dooble
Firing up premiere to begin,premiere
Running phaser to test the code,phaser
Booting up cryengine for some work,cryengine
Exploring features of framer,framer
Animating characters using ink,ink
Developing games in artweaver,artweaver
Working on designs in multisim,multisim
Simulating circuits in toonboom,toonboom
Designing assets in spyder,spyder
Designing assets in vectr,vectr
Exploring features of piskel,piskel
Creating visuals in mypaint,mypaint
Editing files with minbrowser,minbrowser
Opening clickteam to get started,clickteam
Opening cakewalk to get started,cakewalk
Developing games in medibang,medibang
Firing up sublime to begin,sublime
Rendering scenes with mysql,mysql
Managing data using gimp,gimp
Debugging in eclipse environment,eclipse
Firing up inkscape to begin,inkscape
Collaborating via lunascape,lunascape
Opening photoshop to get started,photoshop
Starting gamemaker for the assignment,gamemaker
Organizing notes in genially,genially
Compiling code via twine,twine
Browsing the web with figma,figma
Browsing the web with opera,opera
Editing videos using prezi,prezi
Editing files with yandex,yandex
Running otter to test the code,otter
Managing data using openframeworks,openframeworks
Visualizing data in moho,moho
Managing data using coreldraw,coreldraw
Simulating circuits in vyond,vyond
Opening reaper to get started,reaper
Modeling objects with unityhub,unityhub
Visualizing data in creately,creately
Booting up synfig for some work,synfig
Debugging in snap environment,snap
Compiling code via houdini,houdini
Organizing notes in palemoon,palemoon
