phrase,score
Skip to the next song,1
I need to reorganize my closet,0
Go to the next track please,1
The pasta I made last night was terrible,0
Next song on Spotify,1
My cat keeps knocking things off the shelf,0
Play the next track,1
I should start going to the gym again,0
Skip this song please,1
The new season of that show just dropped,0
Move to the next song on my playlist,1
I forgot to take out the trash again,0
I don't like this song, skip it,1
My headphones keep disconnecting,0
Next track on Spotify,1
I really want a new desk lamp,0
Can you go to the next song?,1
I can't decide what to have for lunch,0
Jump to the next track please,1
It took forever to find parking today,0
Skip this track and play the next,1
My coworker microwaves fish in the office,0
Play the following song on Spotify,1
I've been meaning to read that book,0
Forward to the next song,1
The printer at work is broken again,0
Move on to the next track,1
I think my plants need more sunlight,0
Change to the next song,1
My inbox is completely out of control,0
I want to hear the next song,1
The coffee machine at the office is broken,0
Skip to next track on Spotify,1
I need to update my resume,0
Play the song after this one,1
I dropped my phone and cracked the screen,0
Go ahead to the next track,1
It's been so cold this week,0
Switch to the next song please,1
I keep losing my lip balm,0
Skip this one on Spotify,1
My desk is an absolute mess right now,0
Next song please,1
I need to renew my driver's license,0
Jump to the following track,1
My back hurts from sitting all day,0
Move to the next one on Spotify,1
I forgot to set my alarm last night,0
Play the next one in my playlist,1
There's a long queue at the pharmacy,0
Skip ahead on Spotify,1
I need to schedule a vet appointment,0
Next track please,1
My shoelace broke this morning,0
Change the song to the next one,1
I really should drink more water,0
Forward this track on Spotify,1
I have so much laundry piled up,0
I want to skip to the next song,1
The supermarket was out of my favorite yogurt,0
Play the next track on my Spotify,1
I need to call the plumber,0
Switch songs on Spotify,1
I've been craving pizza all week,0
Skip the current song,1
My Wi-Fi router keeps rebooting itself,0
Move on to the next song please,1
I should get my eyes checked,0
Jump to the next track on Spotify,1
The neighbors were loud again last night,0
Go to the following song,1
My travel mug keeps leaking,0
Next one on Spotify please,1
The remote control batteries died,0
Play the next song in my queue,1
I lost my transit card this morning,0
Skip to the following track,1
I'm running out of shampoo,0
Change tracks on Spotify,1
My office chair squeaks constantly,0
Move to the next song on Spotify,1
I need to find a new dentist,0
Can you skip this song?,1
I spent way too long on social media today,0
Go to the next song please,1
I really need to fix my sleep schedule,0
Skip to the next one please,1
My earbuds ran out of battery mid-run,0
Play the next track now,1
I need to book a flight soon,0
Jump to the following song on Spotify,1
There's a crack in my coffee mug,0
Skip this and go to the next,1
I forgot my umbrella at home again,0
Move on to the next track on Spotify,1
I have a pile of dishes to wash,0
Go ahead and skip this song,1
I haven't called my friends in a while,0
Next track now on Spotify,1
I need to vacuum the apartment,0
