phrase,highlight
play Bohemian Rhapsody for me,Bohemian Rhapsody
I want to listen to Blinding Lights right now,Blinding Lights
can you put on Hotel California please,Hotel California
play Stairway to Heaven,Stairway to Heaven
hey put on Smells Like Teen Spirit,Smells Like Teen Spirit
I'd like to hear Shape of You,Shape of You
play Lose Yourself please,Lose Yourself
put on Sweet Child O' Mine,Sweet Child O' Mine
can you play Billie Jean for me,Billie Jean
I want to hear Wonderwall right now,Wonderwall
play Rolling in the Deep,Rolling in the Deep
hey can you put on Mr. Brightside,Mr. Brightside
play Levitating please,Levitating
I feel like listening to Superstition,Superstition
put on Thunderstruck right now,Thunderstruck
play Someone Like You,Someone Like You
can you play Redbone for me,Redbone
I want to hear Creep please,Creep
play Wake Me Up,Wake Me Up
put on Africa by Toto,Africa
hey play Under the Bridge,Under the Bridge
I'd like to listen to Roxanne,Roxanne
play Numb right now,Numb
can you put on Starboy,Starboy
play Come As You Are,Come As You Are
I want to hear Shallow please,Shallow
put on God's Plan for me,God's Plan
play Clocks by Coldplay,Clocks
hey I want to listen to Yellow,Yellow
can you play Nightcall right now,Nightcall
play Enjoy the Silence,Enjoy the Silence
I'd like to hear Titanium please,Titanium
put on Fix You,Fix You
play Seven Nation Army,Seven Nation Army
can you put on Pompeii for me,Pompeii
I want to hear Uptown Funk right now,Uptown Funk
play Dancing Queen please,Dancing Queen
hey put on Born to Run,Born to Run
play Take Five for me,Take Five
I feel like listening to Killing Me Softly,Killing Me Softly
put on Riders on the Storm,Riders on the Storm
play Wish You Were Here,Wish You Were Here
can you play Paranoid Android for me,Paranoid Android
I want to hear Let It Be,Let It Be
play Purple Rain please,Purple Rain
hey can you put on Jump,Jump
play Chandelier right now,Chandelier
I'd like to listen to Bad Guy,Bad Guy
put on Despacito for me,Despacito
play Lose You to Love Me,Lose You to Love Me
can you put on Electric Feel,Electric Feel
play Radioactive for me,Radioactive
I want to listen to Demons right now,Demons
put on Bleeding Out please,Bleeding Out
hey play Natural,Natural
play Believer for me,Believer
I feel like listening to Thunder,Thunder
can you put on Warriors,Warriors
play Amsterdam right now,Amsterdam
I'd like to hear It's Time,It's Time
put on Smoke on the Water,Smoke on the Water
play Back in Black for me,Back in Black
can you play Highway to Hell,Highway to Hell
I want to hear TNT right now,TNT
play You Shook Me All Night Long,You Shook Me All Night Long
hey put on Hells Bells,Hells Bells
play Shoot to Thrill for me,Shoot to Thrill
I feel like listening to Whole Lotta Rosie,Whole Lotta Rosie
put on Let There Be Rock,Let There Be Rock
can you play Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap
play Rock and Roll Ain't Noise Pollution,Rock and Roll Ain't Noise Pollution
I want to hear If You Want Blood,If You Want Blood
play Girls Girls Girls for me,Girls Girls Girls
hey can you put on Dr. Feelgood,Dr. Feelgood
play Home Sweet Home right now,Home Sweet Home
I'd like to listen to Kickstart My Heart,Kickstart My Heart
put on Without You for me,Without You
play Livin' on a Prayer,Livin' on a Prayer
can you play Wanted Dead or Alive,Wanted Dead or Alive
I want to hear You Give Love a Bad Name,You Give Love a Bad Name
play Bad Medicine right now,Bad Medicine
hey put on Runaway,Runaway
play Always for me,Always
I feel like listening to Bed of Roses,Bed of Roses
put on Every Breath You Take please,Every Breath You Take
can you play Message in a Bottle,Message in a Bottle
play Fields of Gold right now,Fields of Gold
I'd like to hear Englishman in New York,Englishman in New York
put on Roxanne for me,Roxanne
can you play Every Little Thing She Does Is Magic,Every Little Thing She Does Is Magic
play Walking on the Moon right now,Walking on the Moon
I want to hear King of Pain,King of Pain
play So Lonely for me,So Lonely
hey put on Invisible Sun,Invisible Sun
play Fragile right now,Fragile
I feel like listening to Shape of My Heart,Shape of My Heart
put on Desert Rose please,Desert Rose
can you play Brand New Day,Brand New Day
play Ghost Story for me,Ghost Story
I want to listen to Let Your Soul Be Your Pilot right now,Let Your Soul Be Your Pilot
play Valparaiso,Valparaiso
hey can you put on Lithium,Lithium
play In Bloom for me,In Bloom
I'd like to hear Polly,Polly
put on Territorial Pissings right now,Territorial Pissings
can you play Drain You,Drain You
play Lounge Act for me,Lounge Act
I want to hear Stay Away,Stay Away
play Something in the Way right now,Something in the Way
hey put on Breed,Breed
play Sliver for me,Sliver
I feel like listening to Aneurysm,Aneurysm
put on Oh the Guilt please,Oh the Guilt
can you play The Unforgiven,The Unforgiven
play Nothing Else Matters for me,Nothing Else Matters
I want to listen to Enter Sandman right now,Enter Sandman
play Master of Puppets,Master of Puppets
hey can you put on One,One
play Fade to Black for me,Fade to Black
I'd like to hear Seek and Destroy,Seek and Destroy
put on For Whom the Bell Tolls right now,For Whom the Bell Tolls
can you play Creeping Death,Creeping Death
play Orion for me,Orion
I want to hear The Four Horsemen,The Four Horsemen
play Whiplash right now,Whiplash
hey put on Phantom Lord,Phantom Lord
play No Remorse for me,No Remorse
I feel like listening to Battery,Battery
put on Ride the Lightning please,Ride the Lightning
can you play Trapped Under Ice,Trapped Under Ice
play Leper Messiah for me,Leper Messiah
I want to listen to Disposable Heroes right now,Disposable Heroes
play Damage Inc,Damage Inc
hey can you put on Blackened,Blackened
play Harvester of Sorrow for me,Harvester of Sorrow
I'd like to hear The Frayed Ends of Sanity,The Frayed Ends of Sanity
put on To Live Is to Die right now,To Live Is to Die
can you play Dyers Eve,Dyers Eve
play Wherever I May Roam for me,Wherever I May Roam
I want to hear Sad But True,Sad But True
play The God That Failed right now,The God That Failed
hey put on My Friend of Misery,My Friend of Misery
play The Struggle Within for me,The Struggle Within
I feel like listening to Holier Than Thou,Holier Than Thou
put on Of Wolf and Man please,Of Wolf and Man
can you play Welcome Home Sanitarium,Welcome Home Sanitarium
play Cliffs of Dover for me,Cliffs of Dover
I want to listen to Crossroads right now,Crossroads
play Little Wing,Little Wing
hey can you put on Voodoo Child,Voodoo Child
play Purple Haze for me,Purple Haze
