phrase,highlight
go ahead and play bohemian rhapsody,bohemian rhapsody
i think i want to hear stairway to heaven right now,stairway to heaven
could you start playing hotel california for me,hotel california
put smells like teen spirit on please,smells like teen spirit
i'm in the mood for wonderwall tonight,wonderwall
hey can you get billie jean going,billie jean
i really want to listen to rolling in the deep,rolling in the deep
start playing shape of you,shape of you
get lose yourself on right now,lose yourself
i need to hear mr. brightside,mr. brightside
go on and play sweet child o' mine,sweet child o' mine
i was thinking about listening to blinding lights,blinding lights
can you put thunderstruck on for me,thunderstruck
let me hear someone like you,someone like you
play some superstition please,superstition
i want levitating on right now,levitating
queue up wake me up for me,wake me up
i'd love to hear fix you,fix you
get seven nation army going please,seven nation army
put some pompeii on,pompeii
i think uptown funk would be perfect right now,uptown funk
hey get chandelier playing,chandelier
let's listen to bad guy,bad guy
i'm feeling like some killing me softly,killing me softly
can you start wish you were here,wish you were here
get paranoid android on for me,paranoid android
i'd really like to hear purple rain,purple rain
start up dancing queen please,dancing queen
put on a bit of riders on the storm,riders on the storm
i want to get lose you to love me playing,lose you to love me
hey throw on radioactive,radioactive
can we listen to nothing else matters,nothing else matters
i feel like hearing enter sandman right now,enter sandman
go ahead and put master of puppets on,master of puppets
i think fade to black fits the mood,fade to black
let me get for whom the bell tolls going,for whom the bell tolls
put ride the lightning on please,ride the lightning
i want to hear the unforgiven,the unforgiven
hey can you start wherever i may roam,wherever i may roam
get sad but true playing for me,sad but true
i'm in the mood for comfortably numb,comfortably numb
let's put shine on you crazy diamond on,shine on you crazy diamond
i want to hear time by pink floyd,time
go ahead and play voodoo child,voodoo child
hey get purple haze on,purple haze
can you play all along the watchtower for me,all along the watchtower
i'd like to get little wing going,little wing
put some crosstown traffic on please,crosstown traffic
i feel like listening to cliffs of dover right now,cliffs of dover
can you get shape of my heart playing,shape of my heart
