phrase,highlight
play bohemian rhapsody for me,bohemian rhapsody
i want to listen to blinding lights right now,blinding lights
can you put on hotel california please,hotel california
play stairway to heaven,stairway to heaven
hey put on smells like teen spirit,smells like teen spirit
i'd like to hear shape of you,shape of you
play lose yourself please,lose yourself
put on sweet child o' mine,sweet child o' mine
can you play billie jean for me,billie jean
i want to hear wonderwall right now,wonderwall
play rolling in the deep,rolling in the deep
hey can you put on mr. brightside,mr. brightside
play levitating please,levitating
i feel like listening to superstition,superstition
put on thunderstruck right now,thunderstruck
play someone like you,someone like you
can you play redbone for me,redbone
i want to hear creep please,creep
play wake me up,wake me up
put on africa by toto,africa
hey play under the bridge,under the bridge
i'd like to listen to roxanne,roxanne
play numb right now,numb
can you put on starboy,starboy
play come as you are,come as you are
i want to hear shallow please,shallow
put on god's plan for me,god's plan
play clocks by coldplay,clocks
hey i want to listen to yellow,yellow
can you play nightcall right now,nightcall
play enjoy the silence,enjoy the silence
i'd like to hear titanium please,titanium
put on fix you,fix you
play seven nation army,seven nation army
can you put on pompeii for me,pompeii
i want to hear uptown funk right now,uptown funk
play dancing queen please,dancing queen
hey put on born to run,born to run
play take five for me,take five
i feel like listening to killing me softly,killing me softly
put on riders on the storm,riders on the storm
play wish you were here,wish you were here
can you play paranoid android for me,paranoid android
i want to hear let it be,let it be
play purple rain please,purple rain
hey can you put on jump,jump
play chandelier right now,chandelier
i'd like to listen to bad guy,bad guy
put on despacito for me,despacito
play lose you to love me,lose you to love me
can you put on electric feel,electric feel
play radioactive for me,radioactive
i want to listen to demons right now,demons
put on bleeding out please,bleeding out
hey play natural,natural
play believer for me,believer
i feel like listening to thunder,thunder
can you put on warriors,warriors
play amsterdam right now,amsterdam
i'd like to hear it's time,it's time
put on smoke on the water,smoke on the water
play back in black for me,back in black
can you play highway to hell,highway to hell
i want to hear tnt right now,tnt
play you shook me all night long,you shook me all night long
hey put on hells bells,hells bells
play shoot to thrill for me,shoot to thrill
i feel like listening to whole lotta rosie,whole lotta rosie
put on let there be rock,let there be rock
can you play dirty deeds done dirt cheap,dirty deeds done dirt cheap
play rock and roll ain't noise pollution,rock and roll ain't noise pollution
i want to hear if you want blood,if you want blood
play girls girls girls for me,girls girls girls
hey can you put on dr. feelgood,dr. feelgood
play home sweet home right now,home sweet home
i'd like to listen to kickstart my heart,kickstart my heart
put on without you for me,without you
play livin' on a prayer,livin' on a prayer
can you play wanted dead or alive,wanted dead or alive
i want to hear you give love a bad name,you give love a bad name
play bad medicine right now,bad medicine
hey put on runaway,runaway
play always for me,always
i feel like listening to bed of roses,bed of roses
put on every breath you take please,every breath you take
can you play message in a bottle,message in a bottle
play fields of gold right now,fields of gold
i'd like to hear englishman in new york,englishman in new york
put on roxanne for me,roxanne
can you play every little thing she does is magic,every little thing she does is magic
play walking on the moon right now,walking on the moon
i want to hear king of pain,king of pain
play so lonely for me,so lonely
hey put on invisible sun,invisible sun
play fragile right now,fragile
i feel like listening to shape of my heart,shape of my heart
put on desert rose please,desert rose
can you play brand new day,brand new day
play ghost story for me,ghost story
i want to listen to let your soul be your pilot right now,let your soul be your pilot
play valparaiso,valparaiso
hey can you put on lithium,lithium
play in bloom for me,in bloom
i'd like to hear polly,polly
put on territorial pissings right now,territorial pissings
can you play drain you,drain you
play lounge act for me,lounge act
i want to hear stay away,stay away
play something in the way right now,something in the way
hey put on breed,breed
play sliver for me,sliver
i feel like listening to aneurysm,aneurysm
put on oh the guilt please,oh the guilt
can you play the unforgiven,the unforgiven
play nothing else matters for me,nothing else matters
i want to listen to enter sandman right now,enter sandman
play master of puppets,master of puppets
hey can you put on one,one
play fade to black for me,fade to black
i'd like to hear seek and destroy,seek and destroy
put on for whom the bell tolls right now,for whom the bell tolls
can you play creeping death,creeping death
play orion for me,orion
i want to hear the four horsemen,the four horsemen
play whiplash right now,whiplash
hey put on phantom lord,phantom lord
play no remorse for me,no remorse
i feel like listening to battery,battery
put on ride the lightning please,ride the lightning
can you play trapped under ice,trapped under ice
play leper messiah for me,leper messiah
i want to listen to disposable heroes right now,disposable heroes
play damage inc,damage inc
hey can you put on blackened,blackened
play harvester of sorrow for me,harvester of sorrow
i'd like to hear the frayed ends of sanity,the frayed ends of sanity
put on to live is to die right now,to live is to die
can you play dyers eve,dyers eve
play wherever i may roam for me,wherever i may roam
i want to hear sad but true,sad but true
play the god that failed right now,the god that failed
hey put on my friend of misery,my friend of misery
play the struggle within for me,the struggle within
i feel like listening to holier than thou,holier than thou
put on of wolf and man please,of wolf and man
can you play welcome home sanitarium,welcome home sanitarium
play cliffs of dover for me,cliffs of dover
i want to listen to crossroads right now,crossroads
play little wing,little wing
hey can you put on voodoo child,voodoo child
play purple haze for me,purple haze
i'd like to hear all along the watchtower,all along the watchtower
put on foxy lady right now,foxy lady
can you play hey joe,hey joe
play the wind cries mary for me,the wind cries mary
i want to hear fire,fire
play manic depression right now,manic depression
hey put on bold as love,bold as love
play castles made of sand for me,castles made of sand
i feel like listening to spanish castle magic,spanish castle magic
put on burning of the midnight lamp please,burning of the midnight lamp
can you play crosstown traffic,crosstown traffic
play house burning down for me,house burning down
i want to listen to still raining still dreaming right now,still raining still dreaming
play moon turn the tides,moon turn the tides
hey can you put on comfortably numb,comfortably numb
play wish you were here for me,wish you were here
i'd like to hear time,time
put on money right now,money
can you play brain damage,brain damage
play eclipse for me,eclipse
i want to hear shine on you crazy diamond,shine on you crazy diamond
play dogs right now,dogs
hey put on pigs,pigs
play sheep for me,sheep
i feel like listening to have a cigar,have a cigar
put on welcome to the machine please,welcome to the machine
can you play see emily play,see emily play
play arnold layne for me,arnold layne
i want to listen to interstellar overdrive right now,interstellar overdrive
play astronomy domine,astronomy domine
hey can you put on lucifer sam,lucifer sam
play matilda mother for me,matilda mother
i'd like to hear flaming,flaming
put on pow r toc h right now,pow r toc h
