phrase,score
"open Spotify please",1
"what's the capital of Peru",0
"start Chrome now",1
"how many stars are in the galaxy",0
"launch Notepad for me",1
"can you tell me a joke",0
"run Word right away",1
"what's the weather like tomorrow",0
"open Discord now",1
"how far is the moon",0
"start Excel please",1
"who invented the telephone",0
"launch Steam for gaming",1
"what's the tallest building",0
"run Blender now",1
"tell me a fun fact",0
"open Firefox for browsing",1
"how old is the universe",0
"start Slack please",1
"what's the price of gold",0
"launch Gimp right now",1
"how many bones are in the body",0
"run Opera now",1
"what time is sunrise",0
"open Teams for my meeting",1
"who wrote Hamlet",0
"start Zoom please",1
"what's the fastest animal",0
"launch Krita now",1
"how deep is the ocean",0
"run Spotify again",1
"what's the meaning of life",0
"open Chrome quickly",1
"how long is the Amazon River",0
"start Notepad now",1
"what's the biggest desert",0
"launch Word for editing",1
"how many countries are in Europe",0
"run Discord for chatting",1
"what's the boiling point of water",0
"open Excel for my sheet",1
"who painted the Mona Lisa",0
"start Steam now",1
"how many planets are in the solar system",0
"launch Blender please",1
"what's the speed of sound",0
"run Firefox now",1
"how tall is the Eiffel Tower",0
"open Slack for work",1
"what's the population of Japan",0
"start Gimp now",1
"how many calories in an apple",0
"launch Opera please",1
"what's the largest ocean",0
"run Teams now",1
"who discovered electricity",0
"open Zoom for my call",1
"how many languages are spoken worldwide",0
"start Krita now",1
"what's the hottest planet",0
"launch Spotify again",1
"how long does it take to fly to Mars",0
"run Chrome for browsing",1
"what's the coldest place on Earth",0
"open Notepad again",1
"how many people live in Brazil",0
"start Word again",1
"what's the rarest animal",0
"launch Discord please",1
"how many volcanoes are active",0
"run Excel again",1
"what's the biggest island",0
"open Steam again",1
"how many minutes in a year",0
"start Blender again",1
"what's the driest place on Earth",0
"launch Firefox again",1
"how many species of birds exist",0
"run Slack again",1
"what's the longest river",0
"open Gimp again",1
"how many mountains over 8000m exist",0
"start Opera again",1
"what's the hottest desert",0
"launch Teams again",1
"how many stars are in Orion",0
"run Zoom again",1
"what's the oldest city in the world",0
"open Krita again",1
"how many moons does Jupiter have",0
"start VLC now",1
"what's the deepest lake",0
"launch VLC again",1
"how many hours in a decade",0
"run VLC please",1
"what's the smallest mammal",0
"open VLC for my video",1
"how many galaxies exist",0
