phrase,highlight
i feel like listening to Redbone,Redbone
i really want to hear of wolf and man,of wolf and man
can we listen to Seek and Destroy,Seek and Destroy
let's listen to yellow,yellow
play enjoy the silence,enjoy the silence
i'd like to hear highway to hell,highway to hell
could you start playing drain you for me,drain you
put on manic depression right now,manic depression
i want to listen to smells like teen spirit,smells like teen spirit
i feel like listening to Rock and Roll Ain't Noise Pollution,Rock and Roll Ain't Noise Pollution
find have a cigar and play it,have a cigar
start playing Have a Cigar for me,Have a Cigar
i'm in the mood for money tonight,money
let me hear shoot to thrill,shoot to thrill
i'd like to hear take five,take five
find Home Sweet Home and play it,Home Sweet Home
i really want to hear The Gnome,The Gnome
let's listen to thunderstruck,thunderstruck
could you start playing shallow for me,shallow
i feel like listening to fields of gold,fields of gold
play bed of roses,bed of roses
can you play Disposable Heroes,Disposable Heroes
queue up message in a bottle for me,message in a bottle
start playing girls girls girls for me,girls girls girls
put on hey joe right now,hey joe
can you put on Sad But True please,Sad But True
put on titanium right now,titanium
can you play Wish You Were Here,Wish You Were Here
i'm in the mood for Dr. Feelgood tonight,Dr. Feelgood
i really want to hear see emily play,see emily play
start playing Bohemian Rhapsody for me,Bohemian Rhapsody
i feel like listening to damage inc,damage inc
i really want to hear purple haze,purple haze
find shape of you and play it,shape of you
hey throw on House Burning Down,House Burning Down
put on Titanium right now,Titanium
can you play Wonderwall,Wonderwall
play Fragile,Fragile
put on Nothing Else Matters right now,Nothing Else Matters
i'm in the mood for yellow tonight,yellow
put on bad guy right now,bad guy
go ahead and play Lose Yourself,Lose Yourself
hey throw on Born to Run,Born to Run
i really want to hear Nothing Else Matters,Nothing Else Matters
i really want to hear My Friend of Misery,My Friend of Misery
play despacito,despacito
i'm in the mood for Whiplash tonight,Whiplash
hey play lithium,lithium
hey throw on King of Pain,King of Pain
i want to listen to cliffs of dover,cliffs of dover
i really want to hear shape of you,shape of you
i want to listen to despacito,despacito
hey play Something in the Way,Something in the Way
play seven nation army,seven nation army
i'd like to hear sheep,sheep
i really want to hear Brain Damage,Brain Damage
hey play Orion,Orion
can you put on One please,One
i want to listen to hotel california,hotel california
start playing enter sandman for me,enter sandman
could you start playing aneurysm for me,aneurysm
hey play Welcome Home Sanitarium,Welcome Home Sanitarium
can you play Someone Like You,Someone Like You
get see emily play playing,see emily play
i really want to hear the unforgiven,the unforgiven
put on Disposable Heroes right now,Disposable Heroes
could you start playing Shape of My Heart for me,Shape of My Heart
let's listen to fields of gold,fields of gold
hey throw on The Gnome,The Gnome
play no remorse,no remorse
put on Bed of Roses right now,Bed of Roses
let me hear matilda mother,matilda mother
i really want to hear Leper Messiah,Leper Messiah
go ahead and play crosstown traffic,crosstown traffic
play someone like you,someone like you
put on africa right now,africa
could you start playing No Remorse for me,No Remorse
can you put on Sheep please,Sheep
queue up Cliffs of Dover for me,Cliffs of Dover
i feel like listening to Moon Turn the Tides,Moon Turn the Tides
queue up take up thy stethoscope and walk for me,take up thy stethoscope and walk
can you play wish you were here,wish you were here
i feel like listening to Scarecrow,Scarecrow
let's listen to flaming,flaming
could you start playing back in black for me,back in black
start playing Without You for me,Without You
can you play Dr. Feelgood,Dr. Feelgood
hey play Radioactive,Radioactive
can you put on phantom lord please,phantom lord
let me hear crosstown traffic,crosstown traffic
could you start playing Whiplash for me,Whiplash
i'd like to hear bad guy,bad guy
let's listen to Orion,Orion
find moon turn the tides and play it,moon turn the tides
start playing drain you for me,drain you
go ahead and play Believer,Believer
i'm in the mood for ghost story tonight,ghost story
let's listen to disposable heroes,disposable heroes
can you play shape of my heart,shape of my heart
could you start playing whiplash for me,whiplash
i want to listen to Comfortably Numb,Comfortably Numb
find Dyers Eve and play it,Dyers Eve
find harvester of sorrow and play it,harvester of sorrow
queue up back in black for me,back in black
i'm in the mood for Demons tonight,Demons
hey play The Frayed Ends of Sanity,The Frayed Ends of Sanity
get roxanne playing,roxanne
hey play Oh the Guilt,Oh the Guilt
hey play territorial pissings,territorial pissings
play Bohemian Rhapsody,Bohemian Rhapsody
i really want to hear harvester of sorrow,harvester of sorrow
let me hear hells bells,hells bells
let me hear interstellar overdrive,interstellar overdrive
put on so lonely right now,so lonely
go ahead and play Whiplash,Whiplash
can you play Valparaiso,Valparaiso
find take up thy stethoscope and walk and play it,take up thy stethoscope and walk
can you play Drain You,Drain You
hey throw on wish you were here,wish you were here
could you start playing Aneurysm for me,Aneurysm
i feel like listening to warriors,warriors
get Dogs playing,Dogs
find Invisible Sun and play it,Invisible Sun
hey throw on if you want blood,if you want blood
let me hear Aneurysm,Aneurysm
let me hear aneurysm,aneurysm
can we listen to Purple Rain,Purple Rain
let me hear the four horsemen,the four horsemen
let me hear Interstellar Overdrive,Interstellar Overdrive
go ahead and play The God That Failed,The God That Failed
could you start playing battery for me,battery
hey throw on smells like teen spirit,smells like teen spirit
hey play let your soul be your pilot,let your soul be your pilot
play creep,creep
start playing The God That Failed for me,The God That Failed
i feel like listening to Leper Messiah,Leper Messiah
i'd like to hear Born to Run,Born to Run
