phrase,score
Resume my music on Spotify,1
Play my Spotify again,1
Can you unpause Spotify?,1
Hey continue playing my music,1
Start my Spotify back up,1
The sky is blue today,0
Unpause my playlist please,1
Get my music going again on Spotify,1
I want to hear my music continue,1
Resume playback on Spotify,1
What is the capital of France?,0
Hit play on my Spotify,1
Can you get my music back on?,1
Continue my Spotify session,1
I left my Spotify paused can you start it?,1
My cat knocked over a glass of water,0
Pick up where my music left off,1
Spotify keep playing please,1
Turn my music back on,1
Let the music keep going on Spotify,1
How many planets are in the solar system?,0
Start the music again,1
Unpause what I was listening to on Spotify,1
Get Spotify playing again,1
Can you resume what I had on?,1
I need a new pair of running shoes,0
Play music from where I stopped,1
Continue the song on Spotify,1
Put my music back on please,1
Resume Spotify playback now,1
The traffic this morning was terrible,0
Keep my Spotify going,1
I was listening to music can you start it again?,1
Play the song that was on Spotify,1
Restart playback on Spotify,1
What should I cook for dinner tonight?,0
Bring my music back on Spotify,1
Continue playing what I had on Spotify,1
Get my playlist going again,1
Unpause the music please,1
I forgot to buy milk at the store,0
Resume the track on Spotify,1
Start playing my Spotify playlist again,1
Can you play Spotify from where it stopped?,1
Get my music back on,1
The movie I watched last night was great,0
Hit play on my paused Spotify,1
Continue my listening session,1
I want my music to keep going,1
Resume my Spotify queue,1
Dogs are such loyal animals,0
Unpause Spotify for me,1
Play my music on Spotify again,1
Start up Spotify again please,1
Can you get my playlist playing?,1
I have a dentist appointment tomorrow,0
Resume where the music left off,1
Pick the music back up on Spotify,1
Keep playing my Spotify music,1
Let Spotify continue please,1
The weather forecast says rain all week,0
Get my songs playing again on Spotify,1
Continue the music I was listening to,1
Unpause my Spotify playlist,1
Play what I had paused on Spotify,1
I just got a new houseplant,0
Resume my current Spotify track,1
Start my music up again please,1
Can you unpause my Spotify queue?,1
Keep my music going please,1
My laptop battery keeps dying quickly,0
Hit play on Spotify for me,1
Resume the album I was on,1
Get Spotify back on please,1
Continue playing my music from Spotify,1
I need to clean my apartment this weekend,0
Start playing Spotify again,1
Unpause the track I was listening to,1
Can my music keep playing on Spotify?,1
Resume what was playing on Spotify,1
The new coffee shop downtown is amazing,0
Play my Spotify back please,1
Get the music on Spotify running again,1
I want to continue my Spotify session,1
Hit play to resume my music,1
My phone case cracked yesterday,0
Resume playback where I stopped,1
Keep the Spotify music going,1
Unpause my music on Spotify,1
Play the paused song on Spotify,1
I really need a vacation soon,0
Start playing my playlist on Spotify again,1
Get the track going again on Spotify,1
Can you resume Spotify for me?,1
Play my songs again please,1
There is a spider in my bathroom,0
Resume my Spotify right now,1
Continue the playlist on Spotify please,1
Start the music on Spotify again,1
Unpause and play my Spotify,1
