phrases,score
Resume my music on Spotify,1
The sky looks really clear today,0
Get my music going again,1
I need to do laundry this evening,0
Continue playing my Spotify,1
My coffee went cold already,0
Unpause the music please,1
I forgot to water my plants again,0
Start my music back up,1
The bus was late this morning,0
Resume playback on Spotify,1
I can't find my charger anywhere,0
Pick up where my music left off,1
My neighbor keeps parking in my spot,0
Play my Spotify again,1
I have a dentist appointment tomorrow,0
Resume the track I was listening to,1
The new bakery downtown smells amazing,0
Get Spotify playing again,1
I lost my umbrella somewhere,0
Continue my Spotify session,1
There's a spider in my bathroom,0
Hit play on my paused Spotify,1
I really need a vacation,0
Resume what I had on,1
My laptop battery drains so fast,0
Start playing my Spotify again,1
I spilled juice on my keyboard,0
Continue the song on Spotify,1
The gym was super crowded today,0
Put my music back on please,1
I keep forgetting to reply to emails,0
Resume my Spotify queue,1
My phone storage is almost full,0
Play music from where I stopped,1
I need a new pair of shoes,0
Get my playlist going again,1
The weather has been so unpredictable lately,0
Resume my current Spotify track,1
I have so many unread notifications,0
Keep my Spotify going,1
My glasses got scratched this morning,0
Continue playing what I had on Spotify,1
I think the milk in the fridge is expired,0
Unpause Spotify for me,1
The traffic on the highway was awful,0
Resume the album I was on,1
I need to take my car in for service,0
Play what I had paused on Spotify,1
My back has been hurting from this chair,0
Start my music up again please,1
I haven't been sleeping well this week,0
Get the music back on Spotify,1
The elevator in my building is broken,0
Resume where the music left off,1
I forgot to buy milk at the store,0
Continue the playlist on Spotify please,1
My internet has been really slow lately,0
Play my Spotify back please,1
I need to clean my apartment this weekend,0
Resume Spotify for me,1
The bookstore near me is closing down,0
Start playing Spotify again,1
I left my umbrella on the train,0
Unpause and play my Spotify,1
My houseplant keeps drooping,0
Let Spotify continue please,1
I have a meeting in ten minutes,0
Get Spotify back on please,1
I can't remember where I put my keys,0
Resume my Spotify right now,1
The new coffee shop is great but pricey,0
Pick the music back up on Spotify,1
My phone case cracked yesterday,0
I want to continue my Spotify session,1
I need to buy a birthday gift soon,0
Hit play to resume my music,1
There's a weird noise coming from my car,0
Resume playback where I stopped,1
I really should call my parents more often,0
Keep the Spotify music going,1
My subscription just auto-renewed,0
Get my songs playing again on Spotify,1
It's been raining all week here,0
Continue the music I was listening to,1
I lost track of time at the grocery store,0
Resume my music please,1
The line at the post office was endless,0
Start the music on Spotify again,1
I think I left the stove on,0
Play my music on Spotify again,1
My room is way too hot at night,0
Resume the track on Spotify,1
I need to fix that leaky faucet,0
Get the track going again on Spotify,1
The bookshelf I ordered finally arrived,0
Continue my listening session,1
I really want to try that new restaurant,0
Play Spotify from where it stopped,1
I should probably go to bed earlier,0
