phrase,intention,score
Resume my music on Spotify,resume_music,1
Go to the next track please,next_track,1
Pause the music for a second,pause_music,1
Turn shuffle on please,shuffle,1
Enable repeat mode on Spotify,repeat,1
What song is playing right now?,get_current_music,1
The sky looks really clear today,none,0
Get my music going again,resume_music,1
Skip to the next song,next_track,1
Stop the music for a second,pause_music,1
Put my music on shuffle,shuffle,1
Loop this song please,repeat,1
What's the current track on Spotify?,get_current_music,1
I need to do laundry this evening,none,0
Continue playing my Spotify,resume_music,1
Play the next track,next_track,1
Pause Spotify for me,pause_music,1
Can you shuffle my playlist?,shuffle,1
Set Spotify to repeat,repeat,1
What music is on right now?,get_current_music,1
My coffee went cold already,none,0
Unpause the music please,resume_music,1
Next song on Spotify,next_track,1
Hold the music please,pause_music,1
Enable shuffle mode on Spotify,shuffle,1
Repeat the current track,repeat,1
Tell me what song this is,get_current_music,1
I forgot to water my plants again,none,0
Start my music back up,resume_music,1
Skip this song please,next_track,1
Can you pause what's playing?,pause_music,1
Shuffle my Spotify please,shuffle,1
Turn on loop mode on Spotify,repeat,1
What's playing on Spotify?,get_current_music,1
The bus was late this morning,none,0
Resume playback on Spotify,resume_music,1
Move to the next song on my playlist,next_track,1
Stop playback on Spotify,pause_music,1
Turn on shuffle for my music,shuffle,1
Keep repeating this song,repeat,1
Which song is currently on?,get_current_music,1
I can't find my charger anywhere,none,0
Pick up where my music left off,resume_music,1
I don't like this song skip it,next_track,1
Pause the song please,pause_music,1
Play my songs in random order,shuffle,1
Enable song repeat on Spotify,repeat,1
What track is Spotify playing?,get_current_music,1
My neighbor keeps parking in my spot,none,0
Play my Spotify again,resume_music,1
Next track on Spotify,next_track,1
Hold on the music for now,pause_music,1
Activate shuffle on Spotify,shuffle,1
Loop the current song please,repeat,1
Can you tell me what song is on?,get_current_music,1
I have a dentist appointment tomorrow,none,0
Resume the track I was listening to,resume_music,1
Can you go to the next song?,next_track,1
Pause the current track,pause_music,1
Randomize my playlist please,shuffle,1
Turn on repeat for my music,repeat,1
What's the name of this song?,get_current_music,1
The new bakery downtown smells amazing,none,0
Get Spotify playing again,resume_music,1
Jump to the next track please,next_track,1
Can you stop the music temporarily?,pause_music,1
Shuffle my music queue,shuffle,1
Loop my current Spotify track,repeat,1
What song am I listening to right now?,get_current_music,1
I lost my umbrella somewhere,none,0
Continue my Spotify session,resume_music,1
Skip this track and play the next,next_track,1
Pause playback please,pause_music,1
Enable shuffle for my Spotify,shuffle,1
Activate repeat mode please,repeat,1
Which track is currently playing?,get_current_music,1
There's a spider in my bathroom,none,0
Hit play on my paused Spotify,resume_music,1
Play the following song on Spotify,next_track,1
Hold my music for a bit,pause_music,1
Play my playlist in shuffle mode,shuffle,1
Keep this song on repeat,repeat,1
What's the current song on Spotify?,get_current_music,1
I really need a vacation,none,0
Resume what I had on,resume_music,1
Forward to the next song,next_track,1
Stop Spotify right now,pause_music,1
Turn shuffle mode on Spotify,shuffle,1
Repeat this track on Spotify,repeat,1
Tell me what's playing please,get_current_music,1
My laptop battery drains so fast,none,0
Start playing my Spotify again,resume_music,1
Move on to the next track,next_track,1
Pause the music I'm listening to,pause_music,1
Randomize my songs please,shuffle,1
Set this song to loop,repeat,1
What music am I listening to right now?,get_current_music,1
I spilled juice on my keyboard,none,0
Continue the song on Spotify,resume_music,1
Change to the next song,next_track,1
Can you pause Spotify?,pause_music,1
Switch Spotify to shuffle mode,shuffle,1
Keep this track on repeat,repeat,1
Which song is on right now?,get_current_music,1
The gym was super crowded today,none,0
Put my music back on please,resume_music,1
I want to hear the next song,next_track,1
Stop the track for a moment,pause_music,1
Mix up my songs on Spotify,shuffle,1
Activate loop on the current song,repeat,1
What is this song on Spotify?,get_current_music,1
I keep forgetting to reply to emails,none,0
Resume my Spotify queue,resume_music,1
Skip to next track on Spotify,next_track,1
Pause what's playing on Spotify,pause_music,1
Put Spotify on shuffle please,shuffle,1
Repeat mode on please,repeat,1
Tell me the current song please,get_current_music,1
My phone storage is almost full,none,0
Play music from where I stopped,resume_music,1
Play the song after this one,next_track,1
Hold my Spotify for now,pause_music,1
Shuffle my current playlist,shuffle,1
Turn on repeat for this song,repeat,1
What's this song that's playing?,get_current_music,1
I need a new pair of shoes,none,0
Get my playlist going again,resume_music,1
Go ahead to the next track,next_track,1
Stop music playback please,pause_music,1
Activate random mode on Spotify,shuffle,1
Loop this track for me,repeat,1
Which track am I on right now?,get_current_music,1
The weather has been so unpredictable lately,none,0
Resume my current Spotify track,resume_music,1
Switch to the next song please,next_track,1
Pause my music for now,pause_music,1
Shuffle play my Spotify,shuffle,1
Enable repeat playback on Spotify,repeat,1
Can you show me the current song on Spotify?,get_current_music,1
I have so many unread notifications,none,0
Keep my Spotify going,resume_music,1
Skip this one on Spotify,next_track,1
Pause playback on Spotify,pause_music,1
Enable shuffle mode please,shuffle,1
Turn looping on for the current song,repeat,1
What is playing on Spotify at the moment?,get_current_music,1
My glasses got scratched this morning,none,0
Continue playing what I had on Spotify,resume_music,1
Next one on Spotify please,next_track,1
Pause the track on Spotify,pause_music,1
Turn on shuffle for my playlist,shuffle,1
Set my song to loop on Spotify,repeat,1
Which song is Spotify playing for me?,get_current_music,1
I think the milk in the fridge is expired,none,0
Unpause Spotify for me,resume_music,1
Play the next one in my playlist,next_track,1
Stop what's playing for a moment,pause_music,1
Randomize my Spotify playlist please,shuffle,1
Keep repeating the track I'm on,repeat,1
Tell me the name of the current track,get_current_music,1
The traffic on the highway was awful,none,0
Resume the album I was on,resume_music,1
Skip ahead on Spotify,next_track,1
Pause my current song,pause_music,1
Shuffle the tracks on my Spotify,shuffle,1
Set repeat mode on Spotify,repeat,1
What's playing on my Spotify right now?,get_current_music,1
I need to take my car in for service,none,0
Play what I had paused on Spotify,resume_music,1
Next track please,next_track,1
Hold on the track please,pause_music,1
Turn on shuffle for Spotify,shuffle,1
Turn on repeat mode please,repeat,1
Identify the song that's on right now,get_current_music,1
My back has been hurting from this chair,none,0
Start my music up again please,resume_music,1
Change the song to the next one,next_track,1
Stop the current track on Spotify,pause_music,1
Enable random playback on Spotify,shuffle,1
Repeat this song for me please,repeat,1
What track is currently on?,get_current_music,1
I haven't been sleeping well this week,none,0
Get the music back on Spotify,resume_music,1
Can you skip this song?,next_track,1
Pause music for a second,pause_music,1
Shuffle my Spotify queue please,shuffle,1
Set loop mode on Spotify,repeat,1
Can you tell me the current Spotify track?,get_current_music,1
The elevator in my building is broken,none,0
Resume where the music left off,resume_music,1
Move to the next one on Spotify,next_track,1
Stop my Spotify music please,pause_music,1
Mix my music up on Spotify,shuffle,1
Enable song looping on Spotify,repeat,1
What music is currently on Spotify?,get_current_music,1
I forgot to buy milk at the store,none,0
Continue the playlist on Spotify please,resume_music,1
Play the next track on my Spotify,next_track,1
Can you hold the music for a moment?,pause_music,1
Can you put Spotify on random?,shuffle,1
Loop this song on Spotify please,repeat,1
Which song is currently on my Spotify?,get_current_music,1
My internet has been really slow lately,none,0
Play my Spotify back please,resume_music,1
Skip to the following track,next_track,1
Pause what's on Spotify,pause_music,1
Start playing my songs randomly on Spotify,shuffle,1
Repeat this track indefinitely,repeat,1
What is the song that's on right now?,get_current_music,1
I need to clean my apartment this weekend,none,0
Resume Spotify for me,resume_music,1
Jump to the following song on Spotify,next_track,1
Stop my music please,pause_music,1
Shuffle everything in my playlist,shuffle,1
Turn on repeat for my current track,repeat,1
Tell me what track is playing right now,get_current_music,1
The bookstore near me is closing down,none,0
Start the music on Spotify again,resume_music,1
Go ahead and skip this song,next_track,1
Pause the music temporarily,pause_music,1
Enable shuffle on my music please,shuffle,1
Keep replaying this track on Spotify,repeat,1
What song is currently on Spotify?,get_current_music,1
I left my umbrella on the train,none,0
Unpause and play my Spotify,resume_music,1
Next track now on Spotify,next_track,1
Pause the music for now,pause_music,1
Randomize my music on Spotify,shuffle,1
Enable repeat on the current song,repeat,1
What's the song on Spotify right now?,get_current_music,1
I should probably go to bed earlier,none,0
Let Spotify continue please,resume_music,1
Move on to the next song please,next_track,1
Stop the song on Spotify,pause_music,1
Put shuffle on for my Spotify please,shuffle,1
Set this track to repeat on Spotify,repeat,1
Which song is currently playing on Spotify?,get_current_music,1
My houseplant keeps drooping,none,0
Get Spotify back on please,resume_music,1
Skip this and go to the next,next_track,1
Pause my Spotify please,pause_music,1
Shuffle my Spotify playlist,shuffle,1
Repeat the song I'm listening to,repeat,1
What song are we listening to right now?,get_current_music,1
I have a meeting in ten minutes,none,0
Resume my Spotify right now,resume_music,1
Play the next song in my queue,next_track,1
Hold the current track please,pause_music,1
Can you shuffle my Spotify music?,shuffle,1
Keep replaying this song please,repeat,1
What's currently playing on my Spotify?,get_current_music,1
I can't remember where I put my keys,none,0
Pick the music back up on Spotify,resume_music,1
Next song please,next_track,1
Pause my Spotify right now,pause_music,1
Turn shuffle on now,shuffle,1
Loop this one on Spotify,repeat,1
Tell me what's on Spotify right now,get_current_music,1
The new coffee shop is great but pricey,none,0
Continue my listening session,resume_music,1
Skip to next song on my playlist,next_track,1
Stop playing music on Spotify,pause_music,1
Shuffle my music please,shuffle,1
Enable repeat for this track,repeat,1
What song is this on Spotify?,get_current_music,1
My phone case cracked yesterday,none,0
I want to continue my Spotify session,resume_music,1
Move on to the next track on Spotify,next_track,1
Pause the Spotify track,pause_music,1
Shuffle the playlist on Spotify,shuffle,1
Turn on song repeat on Spotify,repeat,1
What's the track that's playing?,get_current_music,1
I need to buy a birthday gift soon,none,0
Hit play to resume my music,resume_music,1
Skip this song and go to the next,next_track,1
Hold the song please,pause_music,1
Enable shuffle for my Spotify please,shuffle,1
Activate repeat for this track,repeat,1
Can you identify the current song?,get_current_music,1
There's a weird noise coming from my car,none,0
Resume playback where I stopped,resume_music,1
Go to the following song,next_track,1
Pause music on Spotify please,pause_music,1
Randomize my Spotify playlist,shuffle,1
Keep this song on loop,repeat,1
Which song is Spotify on right now?,get_current_music,1
I really should call my parents more often,none,0
Keep the Spotify music going,resume_music,1
Switch songs on Spotify,next_track,1
Stop the music temporarily,pause_music,1
Turn on random play on Spotify,shuffle,1
Set Spotify to loop this song,repeat,1
What is the current song playing on Spotify?,get_current_music,1
My subscription just auto-renewed,none,0
Get my songs playing again on Spotify,resume_music,1
Play the next song on Spotify,next_track,1
Pause the current song,pause_music,1
