phrase,score
Pause my music please,1
I need to reorganize my bookshelf,0
Stop the music for a second,1
My keyboard has a sticky key,0
Pause Spotify for me,1
I really should drink more water daily,0
Hold the music please,1
The supermarket was out of bread again,0
Can you pause what's playing?,1
I forgot to charge my phone overnight,0
Pause the current track,1
My neighbors had a party last night,0
Stop playback on Spotify,1
I've been meaning to fix that drawer,0
Pause the song please,1
The line at the coffee shop was so long,0
Hold on the music for now,1
I need to get a birthday card for my mom,0
Pause my Spotify playlist,1
My shoes are giving me blisters,0
Stop the track for a moment,1
I can't remember if I locked the door,0
Pause what's playing on Spotify,1
I should really stretch more often,0
Can you stop the music temporarily?,1
My laptop fan is running really loud,0
Pause playback please,1
I haven't replied to that message yet,0
Hold my music for a bit,1
The vending machine took my money again,0
Stop Spotify right now,1
I need to find a new podcast to listen to,0
Pause the music I'm listening to,1
My glasses keep sliding down my nose,0
Can you pause Spotify?,1
There's a weird smell coming from the fridge,0
Stop what's playing for a moment,1
I dropped my wallet at the grocery store,0
Pause the track on Spotify,1
I've been procrastinating all week,0
Hold the song please,1
My cat woke me up at 3am again,0
Pause playback on Spotify,1
I really need a new office chair,0
Can you stop the current song?,1
I forgot to take my vitamins this morning,0
Pause music for a second,1
The elevator in my building is so slow,0
Stop playing music on Spotify,1
I need to do my taxes soon,0
Pause my current song,1
My houseplant looks sad lately,0
Hold on the track please,1
I stepped on a Lego this morning,0
Pause the music right now,1
I keep misplacing my water bottle,0
Stop Spotify playback,1
My alarm didn't go off this morning,0
Pause the Spotify track,1
I have too many browser tabs open,0
Stop the music temporarily,1
I need to call the internet provider,0
Pause what I'm listening to,1
The weather app keeps giving wrong forecasts,0
Hold the music on Spotify,1
I burnt my toast again this morning,0
Pause my music on Spotify,1
I should really learn to cook more,0
Stop the current track on Spotify,1
My pen ran out of ink mid-sentence,0
Can you pause the song?,1
I need a new phone case,0
Pause music on Spotify please,1
I forgot to respond to that email,0
Hold my Spotify for now,1
There's a fly buzzing around my room,0
Stop music playback please,1
I need to schedule a haircut,0
Pause what's on Spotify,1
My jacket zipper is stuck again,0
Stop my Spotify music please,1
I've been staring at my screen too long,0
Pause the music for now,1
I can't find my headphones anywhere,0
Stop what's playing on Spotify,1
I should go to bed earlier tonight,0
Pause my Spotify right now,1
The bus came early and I missed it,0
Hold the current track please,1
I need to clean out my bag,0
Pause Spotify playback now,1
I burnt my hand on the oven rack,0
Stop the song on Spotify,1
I left my lunch at home today,0
Can you hold the music for a moment?,1
I've been sneezing all morning,0
Pause the music temporarily,1
I need to water my succulents,0
Stop my music please,1
