phrase,score
What song is playing right now?,1
I need to reschedule my dentist appointment,0
What's the current track on Spotify?,1
My blender stopped working mid-smoothie,0
What music is on right now?,1
I forgot to feed the cat this morning,0
Tell me what song this is,1
The new update broke my favorite app,0
What's playing on Spotify?,1
I really need to iron my clothes,0
Which song is currently on?,1
My pen leaked all over my bag,0
What track is Spotify playing?,1
I need to find a plumber for next week,0
Can you tell me what song is on?,1
I left my sunglasses at the restaurant,0
What's the name of this song?,1
My office chair height keeps changing on its own,0
What song am I listening to right now?,1
I should really call my grandma more often,0
Which track is currently playing?,1
There was a long line at the post office,0
What's the current song on Spotify?,1
I keep forgetting to take my keys,0
Tell me what's playing please,1
My screen brightness resets every morning,0
What music am I listening to right now?,1
I need to pick up dry cleaning today,0
What is the current song playing on Spotify?,1
My backpack zipper is broken,0
Which song is on right now?,1
I dropped my glasses in the parking lot,0
What's the track that's playing?,1
I should really update my passwords,0
Can you identify the current song?,1
My coffee keeps getting cold too fast,0
What song is on Spotify right now?,1
I need to clean behind the fridge,0
Tell me the name of the current track,1
I accidentally deleted an important file,0
What's this song that's playing?,1
I've been meaning to fix that squeaky door,0
Which track am I on right now?,1
My lunch container is leaking again,0
What is this song on Spotify?,1
I should really set up automatic bill payments,0
Tell me the current song please,1
I can't find the TV remote anywhere,0
What music is Spotify playing right now?,1
My reusable bag is wearing out,0
Which song is currently playing on Spotify?,1
I forgot to cancel that subscription,0
What track is currently on?,1
My parking meter ran out early,0
Can you tell me the name of this song?,1
I need to charge my wireless mouse,0
What's currently playing on my Spotify?,1
I think I overpacked for this trip,0
Identify the song that's on right now,1
I've been meaning to organize my downloads folder,0
What song is this on Spotify?,1
My shower curtain rod keeps falling,0
Tell me what track is playing right now,1
I need to replace the light bulb in my hallway,0
What is the current track on Spotify?,1
I forgot to bring my reusable bags to the store,0
Which song is Spotify on right now?,1
I need to get a new welcome mat,0
What song is currently on Spotify?,1
My earbuds case stopped charging,0
Tell me what's on Spotify right now,1
I should really defrost my freezer,0
What track am I currently listening to?,1
I left my badge at home again,0
Can you show me the current song on Spotify?,1
My window blinds are stuck halfway,0
What is playing on Spotify at the moment?,1
I need to stock up on printer paper,0
Which song is Spotify playing for me?,1
I accidentally liked a really old post,0
Tell me the name of the song that's on,1
My desk drawer keeps getting stuck,0
What's the song on Spotify right now?,1
I need to find a new route to work,0
Which track is on at the moment?,1
My travel mug lid cracked,0
What song are we listening to right now?,1
I should organize my email folders,0
Can you tell me the current Spotify track?,1
I forgot to return that library book,0
What's playing on my Spotify right now?,1
I need to replace my bathroom mirror,0
Tell me the current track name please,1
I've been meaning to donate those old clothes,0
What music is currently on Spotify?,1
My indoor thermometer has wrong readings,0
Which song is currently on my Spotify?,1
I need to buy a new welcome mat,0
What is the song that's on right now?,1
